Current turn eval function time: 1.482753038406372
Current turn eval function count: 157832
Current turn eval function average time: 9.394501992031858e-06

Move number 17Total States for game: 1319779
Max branching factor for game: 25.87874878302288
Average states per move for game: 77634.05882352941
Average eval function execution time for game: 9.690532675900043e-06
Eval function execution count: 1242723
States for current turn: 156338
Current turn branching factor: 19.884566981112343
Current turn eval function time: 1.2333259582519531
Current turn eval function count: 151160
Current turn eval function average time: 8.15907619907352e-06

Move number 18Total States for game: 1487885
Max branching factor for game: 25.87874878302288
Average states per move for game: 82660.27777777778
Average eval function execution time for game: 9.576835416407933e-06
Eval function execution count: 1407215
States for current turn: 168106
Current turn branching factor: 20.248637411141516
Current turn eval function time: 1.434018611907959
Current turn eval function count: 164492
Current turn eval function average time: 8.717862339250291e-06

Move number 19Total States for game: 2406030
Max branching factor for game: 30.954786885730794
Average states per move for game: 126633.15789473684
Average eval function execution time for game: 9.157607224604802e-06
Eval function execution count: 2295974
States for current turn: 918145
Current turn branching factor: 30.954786885730794
Current turn eval function time: 7.548961639404297
Current turn eval function count: 888759
Current turn eval function average time: 8.493823004216324e-06

Move number 20Total States for game: 2617918
Max branching factor for game: 30.954786885730794
Average states per move for game: 130895.9
Average eval function execution time for game: 9.072589704066727e-06
Eval function execution count: 2502402
States for current turn: 211888
Current turn branching factor: 21.45490473139086
Current turn eval function time: 1.6776385307312012
Current turn eval function count: 206428
Current turn eval function average time: 8.126991157842934e-06

Move number 21Total States for game: 3352818
Max branching factor for game: 30.954786885730794
Average states per move for game: 159658.0
Average eval function execution time for game: 9.005158912879588e-06
Eval function execution count: 3209794
States for current turn: 734900
Current turn branching factor: 29.279055428854114
Current turn eval function time: 6.2014384269714355
Current turn eval function count: 707392
Current turn eval function average time: 8.766622222150428e-06

Move number 22Total States for game: 4169398
Max branching factor for game: 30.954786885730794
Average states per move for game: 189518.0909090909
Average eval function execution time for game: 9.08999555199256e-06
Eval function execution count: 3990089
States for current turn: 816580
Current turn branching factor: 30.060741202113423
Current turn eval function time: 7.3651862144470215
Current turn eval function count: 780295
Current turn eval function average time: 9.438976559438445e-06

Move number 23Total States for game: 6156076
Max branching factor for game: 37.54325045172179
Average states per move for game: 267655.47826086957
Average eval function execution time for game: 9.096279208005712e-06
Eval function execution count: 5888604
States for current turn: 1986678
Current turn branching factor: 37.54325045172179
Current turn eval function time: 17.29449486732483
Current turn eval function count: 1898515
Current turn eval function average time: 9.10948550173416e-06

Move number 24Total States for game: 6527711
Max branching factor for game: 37.54325045172179
Average states per move for game: 271987.9583333333
Average eval function execution time for game: 9.10726531829549e-06
Eval function execution count: 6243944
States for current turn: 371635
Current turn branching factor: 24.69045834544103
Current turn eval function time: 3.300868511199951
Current turn eval function count: 355340
Current turn eval function average time: 9.28932434063137e-06

Move number 25Total States for game: 7416678
Max branching factor for game: 37.54325045172179
Average states per move for game: 296667.12
Average eval function execution time for game: 9.228831307725627e-06
Eval function execution count: 7093138
States for current turn: 888967
Current turn branching factor: 30.7058702098527
Current turn eval function time: 8.596119403839111
Current turn eval function count: 849194
Current turn eval function average time: 1.0122680334339516e-05

Move number 26Total States for game: 8691715
Max branching factor for game: 37.54325045172179
Average states per move for game: 334296.73076923075
Average eval function execution time for game: 9.425182400212903e-06
Eval function execution count: 8297506
States for current turn: 1275037
Current turn branching factor: 33.60320465104694
Current turn eval function time: 12.744133472442627
Current turn eval function count: 1204368
Current turn eval function average time: 1.0581594224059944e-05

Move number 27Total States for game: 10978481
Max branching factor for game: 38.887088780751135
Average states per move for game: 406610.4074074074
Average eval function execution time for game: 9.714768739960503e-06
Eval function execution count: 10483153
States for current turn: 2286766
Current turn branching factor: 38.887088780751135
Current turn eval function time: 23.635899543762207
Current turn eval function count: 2185647
Current turn eval function average time: 1.0814143154755643e-05

Move number 28Total States for game: 11281343
Max branching factor for game: 38.887088780751135
Average states per move for game: 402905.10714285716
Average eval function execution time for game: 9.735978875349316e-06
Eval function execution count: 10769914
States for current turn: 302862
Current turn branching factor: 23.45909189445876
Current turn eval function time: 3.0142481327056885
Current turn eval function count: 286761
Current turn eval function average time: 1.0511360096755447e-05

Move number 29Total States for game: 11359365
Max branching factor for game: 38.887088780751135
Average states per move for game: 391702.2413793103
Average eval function execution time for game: 9.741069265956091e-06
Eval function execution count: 10844250
States for current turn: 78022
Current turn branching factor: 16.71299447784873
Current turn eval function time: 0.7789351940155029
Current turn eval function count: 74336
Current turn eval function average time: 1.047857288548621e-05

Move number 30Total States for game: 11513475
Max branching factor for game: 38.887088780751135
Average states per move for game: 383782.5
Average eval function execution time for game: 9.741970334530186e-06
Eval function execution count: 10991413
States for current turn: 154110
Current turn branching factor: 19.813340590779585
Current turn eval function time: 1.4434289932250977
Current turn eval function count: 147163
Current turn eval function average time: 9.80836890539808e-06

Move number 31Total States for game: 11664353
Max branching factor for game: 38.887088780751135
Average states per move for game: 376269.4516129032
Average eval function execution time for game: 9.73859729919823e-06
Eval function execution count: 11134568
States for current turn: 150878
Current turn branching factor: 19.708631964323885
Current turn eval function time: 1.3570544719696045
Current turn eval function count: 143155
Current turn eval function average time: 9.479616303793822e-06

Move number 32Total States for game: 11854793
Max branching factor for game: 38.887088780751135
Average states per move for game: 370462.28125
Average eval function execution time for game: 9.752225278663751e-06
Eval function execution count: 11316275
States for current turn: 190440
Current turn branching factor: 20.890053066070376
Current turn eval function time: 1.9237892627716064
Current turn eval function count: 181707
Current turn eval function average time: 1.0587315088420404e-05

Move number 33Total States for game: 12072475
Max branching factor for game: 38.887088780751135
Average states per move for game: 365832.57575757575
Average eval function execution time for game: 9.763263522892414e-06
Eval function execution count: 11521608
States for current turn: 217682
Current turn branching factor: 21.600093433448528
Current turn eval function time: 2.129631996154785
Current turn eval function count: 205333
Current turn eval function average time: 1.037160123387271e-05

Move number 34Total States for game: 12393947
Max branching factor for game: 38.887088780751135
Average states per move for game: 364527.85294117645
Average eval function execution time for game: 9.789469835861467e-06
Eval function execution count: 11829854
States for current turn: 321472
Current turn branching factor: 23.811447008112662
Current turn eval function time: 3.3195037841796875
Current turn eval function count: 308246
Current turn eval function average time: 1.0769008467846095e-05

Move number 35Total States for game: 13535088
Max branching factor for game: 38.887088780751135
Average states per move for game: 386716.8
Average eval function execution time for game: 9.924130915712287e-06
Eval function execution count: 12907737
States for current turn: 1141141
Current turn branching factor: 32.68397181766281
Current turn eval function time: 12.290072917938232
Current turn eval function count: 1077883
Current turn eval function average time: 1.1402047270379284e-05

Move number 36Total States for game: 15035757
Max branching factor for game: 38.887088780751135
Average states per move for game: 417659.9166666667
Average eval function execution time for game: 9.964100260513685e-06
Eval function execution count: 14334957
States for current turn: 1500669
Current turn branching factor: 35.00025655694583
Current turn eval function time: 14.736876964569092
Current turn eval function count: 1427220
Current turn eval function average time: 1.0325581875652732e-05

Move number 37Total States for game: 15346980
Max branching factor for game: 38.887088780751135
Average states per move for game: 414783.24324324325
Average eval function execution time for game: 9.971917364419646e-06
Eval function execution count: 14629724
States for current turn: 311223
Current turn branching factor: 23.61934888194697
Current turn eval function time: 3.05145001411438
Current turn eval function count: 294767
Current turn eval function average time: 1.0352074737383696e-05

Move number 38Total States for game: 16577729
Max branching factor for game: 38.887088780751135
Average states per move for game: 436256.0263157895
Average eval function execution time for game: 9.98484114195765e-06
Eval function execution count: 15811369
States for current turn: 1230749
Current turn branching factor: 33.307525794158195
Current turn eval function time: 11.987608909606934
Current turn eval function count: 1181645
Current turn eval function average time: 1.0144847995469818e-05

Move number 39Total States for game: 16906925
Max branching factor for game: 38.887088780751135
Average states per move for game: 433510.89743589744
Average eval function execution time for game: 9.994270763033196e-06
Eval function execution count: 16131873
States for current turn: 329196
Current turn branching factor: 23.953205332893997
Current turn eval function time: 3.3522989749908447
Current turn eval function count: 320504
Current turn eval function average time: 1.0459460646328422e-05

Move number 40Total States for game: 16913537
Max branching factor for game: 38.887088780751135
Average states per move for game: 422838.425
Average eval function execution time for game: 9.995260904224268e-06
Eval function execution count: 16138262
States for current turn: 6612
Current turn branching factor: 9.01743896020508
Current turn eval function time: 0.07983255386352539
Current turn eval function count: 6389
Current turn eval function average time: 1.2495312860154233e-05

Move number 41Total States for game: 16951151
Max branching factor for game: 38.887088780751135
Average states per move for game: 413442.7073170732
Average eval function execution time for game: 9.995631021199682e-06
Eval function execution count: 16174654
States for current turn: 37614
Current turn branching factor: 13.926352382463586
Current turn eval function time: 0.3697340488433838
Current turn eval function count: 36392
Current turn eval function average time: 1.0159761729044399e-05

Move number 42Total States for game: 17152707
Max branching factor for game: 38.887088780751135
Average states per move for game: 408397.78571428574
Average eval function execution time for game: 9.992039371967385e-06
Eval function execution count: 16368761
States for current turn: 201556
Current turn branching factor: 21.188437550813752
Current turn eval function time: 1.8814311027526855
Current turn eval function count: 194107
Current turn eval function average time: 9.692752465149044e-06

Move number 43Total States for game: 17200892
Max branching factor for game: 38.887088780751135
Average states per move for game: 400020.74418604653
Average eval function execution time for game: 9.99298003032799e-06
Eval function execution count: 16415037
States for current turn: 48185
Current turn branching factor: 14.81589753538034
Current turn eval function time: 0.477832555770874
Current turn eval function count: 46276
Current turn eval function average time: 1.0325709995913087e-05


INFO:root:

INFO:root:Stats for Agent whiteB
Move number 1Total States for game: 3231
Max branching factor for game: 7.539355805669954
Average states per move for game: 3231.0
Average eval function execution time for game: 4.331654581372869e-05
Eval function execution count: 2506
States for current turn: 3231
Current turn branching factor: 7.539355805669954
Current turn eval function time: 0.1085512638092041
Current turn eval function count: 2506
Current turn eval function average time: 4.331654581372869e-05

Move number 2Total States for game: 9680
Max branching factor for game: 8.961342871001834
Average states per move for game: 4840.0
Average eval function execution time for game: 2.3460231945992766e-05
Eval function execution count: 7630
States for current turn: 6449
Current turn branching factor: 8.961342871001834
Current turn eval function time: 0.0704503059387207
Current turn eval function count: 5124
Current turn eval function average time: 1.3749083906854158e-05

Move number 3Total States for game: 40050
Max branching factor for game: 13.201132739512076
Average states per move for game: 13350.0
Average eval function execution time for game: 1.3626284353649655e-05
Eval function execution count: 34959
States for current turn: 30370
Current turn branching factor: 13.201132739512076
Current turn eval function time: 0.2973597049713135
Current turn eval function count: 27329
Current turn eval function average time: 1.0880738591654048e-05

Move number 4Total States for game: 88044
Max branching factor for game: 14.801193516409203
Average states per move for game: 22011.0
Average eval function execution time for game: 1.3634580927580551e-05
Eval function execution count: 78405
States for current turn: 47994
Current turn branching factor: 14.801193516409203
Current turn eval function time: 0.5926580429077148
Current turn eval function count: 43446
Current turn eval function average time: 1.3641256799422613e-05

Move number 5Total States for game: 167194
Max branching factor for game: 16.773076579229702
Average states per move for game: 33438.8
Average eval function execution time for game: 1.2592639100642344e-05
Eval function execution count: 149373
States for current turn: 79150
Current turn branching factor: 16.773076579229702
Current turn eval function time: 0.8119809627532959
Current turn eval function count: 70968
Current turn eval function average time: 1.1441508324220718e-05

Move number 6Total States for game: 256158
Max branching factor for game: 17.27044688373178
Average states per move for game: 42693.0
Average eval function execution time for game: 1.2279076708143264e-05
Eval function execution count: 231134
States for current turn: 88964
Current turn branching factor: 17.27044688373178
Current turn eval function time: 0.9571118354797363
Current turn eval function count: 81761
Current turn eval function average time: 1.170621488826869e-05

Move number 7Total States for game: 417981
Max branching factor for game: 20.056726947324236
Average states per move for game: 59711.57142857143
Average eval function execution time for game: 1.3374001913640656e-05
Eval function execution count: 379310
States for current turn: 161823
Current turn branching factor: 20.056726947324236
Current turn eval function time: 2.2347805500030518
Current turn eval function count: 148176
Current turn eval function average time: 1.5081933309058496e-05

Move number 8Total States for game: 1157927
Max branching factor for game: 29.329185792810254
Average states per move for game: 144740.875
Average eval function execution time for game: 1.4295590366105458e-05
Eval function execution count: 1077622
States for current turn: 739946
Current turn branching factor: 29.329185792810254
Current turn eval function time: 10.332350015640259
Current turn eval function count: 698312
Current turn eval function average time: 1.479617995343093e-05

Move number 9Total States for game: 2624530
Max branching factor for game: 34.799911721782294
Average states per move for game: 291614.44444444444
Average eval function execution time for game: 1.430438213530187e-05
Eval function execution count: 2475273
States for current turn: 1466603
Current turn branching factor: 34.799911721782294
Current turn eval function time: 20.002008199691772
Current turn eval function count: 1397651
Current turn eval function average time: 1.43111607974321e-05

Move number 10Total States for game: 2828551
Max branching factor for game: 34.799911721782294
Average states per move for game: 282855.1
Average eval function execution time for game: 1.4291953798772465e-05
Eval function execution count: 2664317
States for current turn: 204021
Current turn branching factor: 21.25292540846898
Current turn eval function time: 2.6710445880889893
Current turn eval function count: 189044
Current turn eval function average time: 1.4129221705470627e-05

Move number 11Total States for game: 3473717
Max branching factor for game: 34.799911721782294
Average states per move for game: 315792.45454545453
Average eval function execution time for game: 1.4379501783790977e-05
Eval function execution count: 3286910
States for current turn: 645166
Current turn branching factor: 28.34117606324231
Current turn eval function time: 9.185832738876343
Current turn eval function count: 622593
Current turn eval function average time: 1.4754153578463528e-05

Move number 12Total States for game: 4071433
Max branching factor for game: 34.799911721782294
Average states per move for game: 339286.0833333333
Average eval function execution time for game: 1.4359733311067552e-05
Eval function execution count: 3864294
States for current turn: 597716
Current turn branching factor: 27.8050525596896
Current turn eval function time: 8.226103067398071
Current turn eval function count: 577384
Current turn eval function average time: 1.4247196090293586e-05

Move number 13Total States for game: 4175503
Max branching factor for game: 34.799911721782294
Average states per move for game: 321192.53846153844
Average eval function execution time for game: 1.4375583344368152e-05
Eval function execution count: 3964878
States for current turn: 104070
Current turn branching factor: 17.961036219230927
Current turn eval function time: 1.5072028636932373
Current turn eval function count: 100584
Current turn eval function average time: 1.4984519045705453e-05

Move number 14Total States for game: 4731131
Max branching factor for game: 34.799911721782294
Average states per move for game: 337937.9285714286
Average eval function execution time for game: 1.4499959007020903e-05
Eval function execution count: 4482613
States for current turn: 555628
Current turn branching factor: 27.302098602973274
Current turn eval function time: 8.00027060508728
Current turn eval function count: 517735
Current turn eval function average time: 1.545244305501324e-05

Move number 15Total States for game: 5011153
Max branching factor for game: 34.799911721782294
Average states per move for game: 334076.86666666664
Average eval function execution time for game: 1.4566879816507212e-05
Eval function execution count: 4743425
States for current turn: 280022
Current turn branching factor: 23.003718174473732
Current turn eval function time: 4.099197149276733
Current turn eval function count: 260812
Current turn eval function average time: 1.5717057302872312e-05

Move number 16Total States for game: 6116761
Max branching factor for game: 34.799911721782294
Average states per move for game: 382297.5625
Average eval function execution time for game: 1.4669677749437418e-05
Eval function execution count: 5806729
States for current turn: 1105608
Current turn branching factor: 32.42651628559559
Current turn eval function time: 16.085941314697266
Current turn eval function count: 1063304
Current turn eval function average time: 1.512826182794127e-05

Move number 17Total States for game: 6818155
Max branching factor for game: 34.799911721782294
Average states per move for game: 401067.9411764706
Average eval function execution time for game: 1.4732647562709783e-05
Eval function execution count: 6470565
States for current turn: 701394
Current turn branching factor: 28.939465899273813
Current turn eval function time: 10.145710468292236
Current turn eval function count: 663836
Current turn eval function average time: 1.52834592705009e-05

Move number 18Total States for game: 7741738
Max branching factor for game: 34.799911721782294
Average states per move for game: 430096.55555555556
Average eval function execution time for game: 1.479000654812422e-05
Eval function execution count: 7353533
States for current turn: 923583
Current turn branching factor: 31.00052027826514
Current turn eval function time: 13.43024754524231
Current turn eval function count: 882968
Current turn eval function average time: 1.5210344593736477e-05

Move number 19Total States for game: 8496208
Max branching factor for game: 34.799911721782294
Average states per move for game: 447168.84210526315
Average eval function execution time for game: 1.4831216425908066e-05
Eval function execution count: 8041349
States for current turn: 754470
Current turn branching factor: 29.47206008371797
Current turn eval function time: 10.504186153411865
Current turn eval function count: 687816
Current turn eval function average time: 1.5271796750020157e-05

Move number 20Total States for game: 8542245
Max branching factor for game: 34.799911721782294
Average states per move for game: 427112.25
Average eval function execution time for game: 1.4840365095702158e-05
Eval function execution count: 8084287
States for current turn: 46037
Current turn branching factor: 14.64794679304613
Current turn eval function time: 0.7107832431793213
Current turn eval function count: 42938
